title,price,reg_price,rate,rate_count,text,specs
"Электрокотёл 9 кВт ""Ресурс ЭВПМ"" для отопления",6376,7734,4.8,32,"Электрокотёл Ресурс ЭВПМ 9 кВт на 380В и 220В  предназначен для отопления помещений площадью до 90 кв.м. Он может использоваться как в закрытых, так и в открытых системах отопления при давлении до 0.25 МПа. Электрокотёл 9кВт оснащён встроенным пультом управления с регулятором температуры и выключателями мощности, которые позволяют регулировать температуру теплоносителя в диапазоне от 35 до 85 градусов. Максимальное давление воды в системе отопления - 2.5 бар. Электрокотёл для отопления имеет три ступени мощности (3, 6 и 9 кВт), что позволяет точно настроить его под ваши потребности. Материал первичного теплообменника - сталь, что обеспечивает надёжность и долговечность прибора. 



Электрический котёл для отопления Ресурс ЭВПМ 9кВт для частного дома площадью порядка 90м². Имеет 3 тэна по 3 кВт. Работает на 380В и 220В. Для работы на 220В надо сделать перемычку между С,В и А от корчиневого провода.  Резьба котла отопления 1 1/4"" дюйма.  Электрический котёл ""Ресурс ЭВПМ 9 кВт"" - это хороший вариант для отапливания вашего загородного дома, где нет газа. 

В своей основе электрический котел отопления ресурс 9 кВт имеет три тена, которые работают от электросети. Включать сами тэны можно порознь - сразу 2, 3 или 1 в зависимости от ситуации. Если холодно ставите на 3, стало теплее - можно и на 2 поставить, чтобы экономить электричество. Если стало очень жарко, то можно оставить функционировать только 1 тен. 

Вход у Котла для отопления электрический  справа, выход сверху, резьба наружная 1 1/4"" дюйма. Всё это дополняется термостатом, который вы можете установить на определённую температуру от 30°С до 90°С. При помощи него тэны будут выключаться при заданной температуре. С одной стороны, данный механизм помогает лучше контролировать температуру в доме, а с другой он помогает предотвратить перегрев отопительной жидкости. Это не означает, что вы можете не использовать группу безопасности, а лишь то, что система будет более безопасной и сбалансированной. 
","{""Тип камеры сгорания"": ""закрытая"", ""Тип отопительного котла"": ""Электрический котел отопления; Электрокотёл для отопления; Котёл Ресурс электрический для системы отопления"", ""Рекомендуемая площадь помещения (кв.м)"": ""90 кв. м"", ""Температура горячей воды (°C)"": ""85 C"", ""Тепловая мощность"": ""9кВт"", ""Газ-контроль"": ""нет"", ""Варианты установки"": ""Настенный электрический котел; Навесной электрокотёл"", ""Страна производства"": ""Россия"", ""Количество контуров"": ""1"", ""Потребляемая мощность"": ""9000 Вт"", ""Автоподжиг"": ""да"", ""Глубина предмета"": ""20 см"", ""Ширина предмета"": ""25 см"", ""Высота предмета"": ""65 см"", ""Вес с упаковкой (кг)"": ""10 кг"", ""Вес без упаковки (кг)"": ""9 кг"", ""Длина упаковки"": ""69 см"", ""Высота упаковки"": ""19 см"", ""Ширина упаковки"": ""23 см"", ""Модель"": ""Электрокотел ЭВПМ 9кВт; Котел электрический для отопления 9кВт; Котел для отопления Ресурс на 9кВт электрический"", ""Гарантийный срок"": ""1 год""}"
"Электрокотёл 6 кВт ""Ресурс ЭВПМ"" для отопления",5692,6904,4.8,32,"Электрокотёл Ресурс ЭВПМ 6 кВт на 220В и 380В предназначен для отопления помещений площадью до 60 кв.м. Он может использоваться как в закрытых, так и в открытых системах отопления при давлении до 0.25 МПа. Электрокотёл 6кВт оснащён встроенным пультом управления с регулятором температуры и выключателями мощности, которые позволяют регулировать температуру теплоносителя в диапазоне от 35 до 85 градусов. Максимальное давление воды в системе отопления - 2.5 бар. Электрокотёл для отопления имеет три ступени мощности (2, 4 и 6 кВт), что позволяет точно настроить его под ваши потребности. Материал первичного теплообменника - сталь, что обеспечивает надёжность и долговечность прибора. 



Электрический котёл для отопления Ресурс ЭВПМ 6кВт для частного дома площадью порядка 60м². Имеет 3 тэна по 2 кВт. Работает на 220В и 380В. Для работы на 220В надо сделать перемычку между С,В и А от корчиневого провода. Электрический котёл ""Ресурс ЭВПМ 6 кВт"" - это хороший вариант для отапливания вашего загородного дома, где нет газа. 

В своей основе электрический котел отопления ресурс 6кВт имеет три тена, которые работают от электросети. Включать сами тэны можно порознь - сразу 2, 3 или 1 в зависимости от ситуации. Если холодно ставите на 3, стало теплее - можно и на 2 поставить, чтобы экономить электричество. Если стало очень жарко, то можно оставить функционировать только 1 тен.

 Вход у Котла для отопления электрический  справа, выход сверху, резьба наружная 1"" дюйм. Всё это дополняется термостатом, который вы можете установить на определённую температуру от 30°С до 90°С. При помощи него тэны будут выключаться при заданной температуре. С одной стороны, данный механизм помогает лучше контролировать температуру в доме, а с другой он помогает предотвратить перегрев отопительной жидкости. Это не означает, что вы можете не использовать группу безопасности, а лишь то, что система будет более безопасной и сбалансированной. 
","{""Модель"": ""Электрокотел ЭВПМ 6кВт; Котел электрический для отопления Ресурс ЭВПМ 6кВт; Котел для отопления 6кВт электрический"", ""Гарантийный срок"": ""1 год"", ""Температура горячей воды (°C)"": ""85 C"", ""Страна производства"": ""Россия"", ""Тип камеры сгорания"": ""закрытая"", ""Потребляемая мощность"": ""6000 Вт"", ""Количество контуров"": ""1"", ""Газ-контроль"": ""нет"", ""Варианты установки"": ""настенный; Настенный электрокотёл отопления; Электрический котел отопления навесной"", ""Тип отопительного котла"": ""Электрический котел отопления; Электрокотёл для отопления; Котёл Ресурс электрический для системы отопления"", ""Рекомендуемая площадь помещения (кв.м)"": ""60 кв. м"", ""Тепловая мощность"": ""6кВт"", ""Автоподжиг"": ""да"", ""Вес без упаковки (кг)"": ""8 кг"", ""Ширина предмета"": ""25 см"", ""Глубина предмета"": ""17 см"", ""Высота предмета"": ""55 см"", ""Вес с упаковкой (кг)"": ""9 кг"", ""Длина упаковки"": ""58 см"", ""Высота упаковки"": ""19 см"", ""Ширина упаковки"": ""23 см""}"
"Котел газовый настенный World Alpha-24 23,3 кВт",42743,50287,4.8,15,"Газовый котёл KITURAMI World Alpha 24 - двухконтурная модель обеспечит теплом и горячим водоснабжением жилое и нежилое помещение. Основной теплообменник из нержавеющей стали обеспечивает защиту от конденсата и долговечную работу. Блок управления, оснащенный системой выявления утечки газа, автоматически прекращает работу котла. Это позволяет предотвратить аварийную ситуацию. В случае неисправности работы котла мигает контрольная лампочка, и на дисплее комнатного пульта управления отображается код ошибки. Это позволяет легко установить причину нештатной ситуации.","{""Потребляемая мощность"": ""220 Вт"", ""Рекомендуемая площадь помещения (кв.м)"": ""240 кв. м"", ""Тип отопительного котла"": ""газовый"", ""Количество контуров"": ""2"", ""Страна производства"": ""Республика Корея"", ""Тип камеры сгорания"": ""закрытая"", ""Варианты установки"": ""настенный"", ""Тепловая мощность"": ""23,3"", ""Автоподжиг"": ""да"", ""Ширина предмета"": ""44 см"", ""Вес с упаковкой (кг)"": ""22 кг"", ""Высота предмета"": ""68 см"", ""Глубина предмета"": ""22.8 см"", ""Вес без упаковки (кг)"": ""20 кг"", ""Длина упаковки"": ""50 см"", ""Высота упаковки"": ""80 см"", ""Ширина упаковки"": ""32 см"", ""Модель"": ""World Alpha-24"", ""Гарантийный срок"": ""1 год""}"
Электрокотёл 9 кВт ЭВПМ для отопления,6774,9603,4.4,335,"Электрокотёл  ЭВПМ 9 кВт на 380В и 220В предназначен для отопления помещений площадью до 90 кв.м. Он может использоваться как в закрытых, так и в открытых системах отопления при давлении до 0.25 МПа. Котёл 9кВт оснащён встроенным пультом управления с регулятором температуры и выключателями мощности, которые позволяют регулировать температуру теплоносителя в диапазоне от 35 до 85 градусов. Максимальное давление воды в системе отопления - 2.5 бар. Котёл для отопления имеет три ступени мощности (3, 6 и 9 кВт), что позволяет точно настроить его под ваши потребности. Материал первичного теплообменника - сталь, что обеспечивает надёжность и долговечность прибора. Котёл для отопления ЭВПМ 9кВт для частного дома площадью порядка 90м². Имеет 3 тэна по 3 кВт. Работает на 380В и 220В. Для работы на 220В надо сделать перемычку между С,В и А от корчиневого провода.  Электрический котёл ""ЭВПМ 9 кВт"" - это хороший вариант для отапливания вашего загородного дома, где нет газа. В своей основе электрический котел отопления 9 кВт имеет три тена, которые работают от электросети. Включать сами тэны можно порознь - сразу 2, 3 или 1 в зависимости от ситуации. Если холодно ставите на 3, стало теплее - можно и на 2 поставить, чтобы экономить электричество. Если стало очень жарко, то можно оставить функционировать только 1 тен. Вход у Котла для отопления электрический справа, выход сверху, резьба наружная 1 1/4"" дюйма. Гарантия - 1 год.","{""Страна производства"": ""Россия"", ""Количество контуров"": ""1"", ""Автоподжиг"": ""нет"", ""Газ-контроль"": ""нет"", ""Варианты установки"": ""напольный; настенный"", ""Тип камеры сгорания"": ""нет"", ""Рекомендуемая площадь помещения (кв.м)"": ""90 кв. м"", ""Температура горячей воды (°C)"": ""90 C"", ""Тепловая мощность"": ""9 кВт"", ""Тип отопительного котла"": ""электрический котел"", ""Потребляемая мощность"": ""9000 Вт"", ""Высота предмета"": ""50 см"", ""Вес с упаковкой (кг)"": ""6.1 кг"", ""Ширина предмета"": ""18 см"", ""Глубина предмета"": ""12.5 см"", ""Вес без упаковки (кг)"": ""6 кг"", ""Длина упаковки"": ""57 см"", ""Высота упаковки"": ""20 см"", ""Ширина упаковки"": ""25 см"", ""Модель"": ""ЭВПМ-9 кВт"", ""Гарантийный срок"": ""1 год""}"
Электрокотел ЭВПМ (ЭВП) 6 кВт 220В с нержавеющим ТЭНом,7501,11314,4.5,32,"Котел ЭВПМ 6 кВт 220 В. 
Электрокотел серии ЭВПМ применяются для водяного отопления жилых и производственных помещений, имеющих открытую и закрытую отопительную систему, работающую при давление не более 0,25 МПа (25 м. водяного столба), при напряжении однофазной сети 220В. 
Имеет монтажный отсек (лючок) - для простоты и удобства установки. 
Котел электрический для отопления идеален как основной источник отопления, так и для резервного/дополнительного. Подходит для дачи, бассейна, системы теплый пол. 
В котел вмонтирован терморегулятор, это позволяет поддерживать необходимую вам температуру в системе отопления. 
Котел отопления имеет привлекательный дизайн, прочное полимерное покрытие.
Дополнительные преимущества: 
теплоизоляция колбы, качественные швы, сечение провода с запасом.
Котел для отопления дома электрический имеет сменный нагревательный элемент ТЭНБ(СЭВ) 6 кВт  собственного производства из нержавеющей стали (устойчивы к кислотным средам - таким как специальные незамерзающие жидкости для систем отопления - на основе этиленгликоля и пропиленгликоля), что делает их ремонтопригодными.  Это позволяет сэкономить деньги в случае выхода котла из строя. Имеет болт заземления. 
Для экономии электроэнергии присутствует ступенчатая регулировка мощности - 2кВт + 2кВт + 2кВт для котла, включается/отключается модульными автоматами. 
Рассчитан на отопление помещения площадью до 65 кв. метров.

Электрические котлы соответствуют всем установленным нормативам РФ .

•   Регулировка температуры теплоносителя от 30 до 85°С, автоматическое поддержание температуры на заданном значении с точностью 0,8°С.
•  Возможность использования в качестве теплоносителя, как воду, водопроводная ГОСТ 2874 , так и незамерзающие жидкости Антифриз (тосол) для систем отопления. 
•  Электрический котел предусмотрена возможность запуска  при отрицательных температурах – с незамерзающей  жидкостью в системе.

Выводы верх и право (самое ходовое исполнение).

Диаметр трубы вход/выход в электрокотле - 25 мм.(1 дюйм)

Предоставляем гарантию на котлы - 1 год.
","{""Температура горячей воды (°C)"": ""90 C"", ""Варианты установки"": ""напольный; настенный"", ""Газ-контроль"": ""нет"", ""Тепловая мощность"": ""6 кВт"", ""Страна производства"": ""Россия"", ""Количество контуров"": ""1"", ""Тип отопительного котла"": ""электрический"", ""Потребляемая мощность"": ""6000 Вт"", ""Рекомендуемая площадь помещения (кв.м)"": ""65 кв. м"", ""Гарантийный срок"": ""1 год"", ""Модель"": ""котел электрический 6 квт; ЭПВМ 6 квт с тэном из нержавеющей стали; отопительный котел 6 квт на автомате, с тэном нержавейка"", ""Вес с упаковкой (кг)"": ""6.3 кг"", ""Ширина предмета"": ""18 см"", ""Вес без упаковки (кг)"": ""6 кг"", ""Высота предмета"": ""50 см"", ""Глубина предмета"": ""12.5 см"", ""Длина упаковки"": ""57 см"", ""Высота упаковки"": ""20 см"", ""Ширина упаковки"": ""25 см""}"
Электрокотел Ресурс ЭВПМ-12кВт УХЛ 4 (380 В),6978,12631,,0,"Электрокотел для водяного отопления зданий и помещений площадью до 130 кв.м. Подходит для открытых и закрытых отопительных систем, работающих при давлении не более 0,25 МПа (2,5 Атм.) и напряжении трехфазной сети 380 В. Может использоваться автономно или совместно с котлами на твердом топливе. Мощность ТЭНБ (4, 8, 12 кВт) и температура воды (30-90 °C) регулируются. Стальной корпус, порошковая окраска, диаметр резьбы патрубков 1.1/4 дюйма (32 мм). Предусмотрен кронштейн для крепления на стену, вес котла 10 кг. Срок службы 7 лет.","{""Модель"": ""ЭВПМ-12кВт УХЛ 4 (380 В)"", ""Варианты установки"": ""настенный"", ""Количество контуров"": ""1"", ""Потребляемая мощность"": ""12000 Вт"", ""Рекомендуемая площадь помещения (кв.м)"": ""130 кв. м"", ""Тип отопительного котла"": ""электрический"", ""Вес с упаковкой (кг)"": ""8.8 кг"", ""Высота предмета"": ""65 см"", ""Глубина предмета"": ""17 см"", ""Ширина предмета"": ""23 см"", ""Длина упаковки"": ""22 см"", ""Высота упаковки"": ""68 см"", ""Ширина упаковки"": ""18 см""}"
"ЭВП 7.5 ЭУ (7.5 кВт, эл. упр.)",13555,15948,,0,Котел отопления с интеллектуальной системой распределения мощности. В автоматическом режиме обеспечивает поддержание заданной температуры теплоносителя за счет регулировки мощности. Электронный блок управления с автоматическим определением необходимой мощности и интеллектуальным распределением фазной нагрузки.,"{""Количество контуров"": ""1"", ""Потребляемая мощность"": ""7500 Вт"", ""Страна производства"": ""Россия"", ""Тип отопительного котла"": ""электрический"", ""Варианты установки"": ""Настенное крепление"", ""Гарантийный срок"": ""1 год ( 12 месяцев )"", ""Модель"": ""Элвин ЭВП 7.5 ЭУ"", ""Длина упаковки"": ""15 см"", ""Высота упаковки"": ""63 см"", ""Ширина упаковки"": ""27 см""}"
"Электрический котел ZOTA Econom 9, ZE 346842 0009",15462,21152,4.6,19,Электрические котлы серии ZOTA Econom (Зота Эконом)  предназначены для автономного теплоснабжения жилых и производственных помещений и могут быть использованы в системах с естественной (ZOTA Econom 3-15) и насосной циркуляцией. Во все котлы установлены нагревательные элементы (блок-ТЭНы) различной мощности специальной конструкции из нержавеющей трубки.,"{""Количество контуров"": ""1"", ""Тип отопительного котла"": ""Электрический"", ""Варианты установки"": ""Настенный"", ""Тепловая мощность"": ""9"", ""Вес с упаковкой (кг)"": ""12 кг"", ""Длина упаковки"": ""74 см"", ""Высота упаковки"": ""14 см"", ""Ширина упаковки"": ""22 см"", ""Модель"": ""Econom 9, ZE 346842 0009"", ""Гарантийный срок"": ""1 год""}"
Электрический настенный котел с Wi-Fi,42499,49999,5.0,1,"Электрический котел отопления с 4 режимами мощности от 5 до 12 кВт, алюминиево-магниевым теплообменником, встроенным расширительным баком и технологией Wi-Fi Motion - управление на расстоянии. Thermex Grizzly способен обогревать до 120 м2.Современный электрический котел Thermex Grizzly - удобное, универсальное и функциональное решение для создания независимой системы отопления в доме. Благодаря новому теплообменнику, встроенному расширительному баку, многоуровневой системе безопасности и нескольким вариантам мощности Grizzly отлично подходит для решения любых вопросов отопления.Преимущества Thermex Grizzly:4 модели в одном котле. Мощность Grizzly ограничивается в процессе установки, так что один котел заменяет 4 устройства. Для регулировки мощности нужно установить переключатель мощности на электронной плате котла в определенное положение, выбрав 5, 8, 10 или 12 кВт.Высокоэффективный теплообменник. Теплообменник Grizzly изготовлен по новой технологии литья из алюминиево-магниевого сплава для разделения воды и нагревательного элемента, так что такой теплообменник защищен от накипи на нагревательном элементе. При этом алюминиево-магниевый теплообменник имеет высокую эффективность, скорость нагрева и надежность. Качество теплообменника подтверждает длительная гарантия - 4 года.Технология Wi-Fi Motion. Позволяет постоянно отслеживать работу котла в приложении Thermex Home на личном планшете или смартфоне, включать, отключать и настраивать работу. Также в приложении можно создавать алгоритмы работы по времени и дню недели, а также программировать работу котла в зависимости от внешних условий, например, погоды за окном.Электронное управление. На фронтальной панели расположена панель управления с дисплеем, на котором отображается температура нагрева, можно настроить температуру теплоносителя или выбрать один из трех режимов работы - Turbo, Comfort или Eco.Многоуровневая система безопасности. В Grizzly предусмотрена защита от замерзания, а также - полноценная система самодиагностики, которая постоянно отслеживает работу котла и информирует в случае сбоя.Функциональность. В Grizzly уже предусмотрен встроенный насос и расширительный бак объемом 6 литров, максимальная площадь обогрева электрического котла - 120 м2.","{""Варианты установки"": ""настенный"", ""Тип отопительного котла"": ""электрический"", ""Страна производства"": ""Китай"", ""Гарантийный срок"": ""2 года на изделие; 4 года на нагревательный модуль"", ""Модель"": ""Grizzly 5-12 Wi-Fi; Электрический настенный котел; Электрический котел на 120 м2"", ""Длина упаковки"": ""70 см"", ""Высота упаковки"": ""33 см"", ""Ширина упаковки"": ""46 см""}"
Электрический котел ЭВП 18 (18 кВт),10238,12045,,0,"Преимущества электрокотлов ""Элвин"" с твердотельным реле на основе симистора- это полностью бесшумная работа котла. Актуально для домов и коттеджей с отсутствием технического помещения для монтажа оборудования. Универсальность установки - входной патрубок поворачивается на 180 градусов относительно оси выходного.Легкое обслуживание в процессе эксплуатации.Уникальная конструкция.","{""Потребляемая мощность"": ""18000 Вт"", ""Тип отопительного котла"": ""электрический котел"", ""Страна производства"": ""Россия"", ""Рекомендуемая площадь помещения (кв.м)"": ""210 кв. м"", ""Количество контуров"": ""1"", ""Варианты установки"": ""Настенное крепление; напольный"", ""Глубина предмета"": ""13 см"", ""Ширина предмета"": ""27 см"", ""Вес без упаковки (кг)"": ""15 кг"", ""Высота предмета"": ""66 см"", ""Длина упаковки"": ""27 см"", ""Высота упаковки"": ""66 см"", ""Ширина упаковки"": ""13 см"", ""Гарантийный срок"": ""1 год ( 12 месяцев )"", ""Модель"": ""ЭВП-18""}"
