title,price,reg_price,text,tokenized_sent_NLTKTextSplitter,Тип отопительного котла,Количество контуров,Отапливаемая площадь,Управление,Вес,Размещение,Макс. тепловая мощность,Гарантийный срок,КПД,Топливо
"Электрокотёл 9 кВт ""Ресурс ЭВПМ"" для отопления",6376,7734,"Электрокотёл Ресурс ЭВПМ 9 кВт на 380В и 220В  предназначен для отопления помещений площадью до 90 кв.м. Он может использоваться как в закрытых, так и в открытых системах отопления при давлении до 0.25 МПа. Электрокотёл 9кВт оснащён встроенным пультом управления с регулятором температуры и выключателями мощности, которые позволяют регулировать температуру теплоносителя в диапазоне от 35 до 85 градусов. Максимальное давление воды в системе отопления - 2.5 бар. Электрокотёл для отопления имеет три ступени мощности (3, 6 и 9 кВт), что позволяет точно настроить его под ваши потребности. Материал первичного теплообменника - сталь, что обеспечивает надёжность и долговечность прибора. 



Электрический котёл для отопления Ресурс ЭВПМ 9кВт для частного дома площадью порядка 90м². Имеет 3 тэна по 3 кВт. Работает на 380В и 220В. Для работы на 220В надо сделать перемычку между С,В и А от корчиневого провода.  Резьба котла отопления 1 1/4"" дюйма.  Электрический котёл ""Ресурс ЭВПМ 9 кВт"" - это хороший вариант для отапливания вашего загородного дома, где нет газа. 

В своей основе электрический котел отопления ресурс 9 кВт имеет три тена, которые работают от электросети. Включать сами тэны можно порознь - сразу 2, 3 или 1 в зависимости от ситуации. Если холодно ставите на 3, стало теплее - можно и на 2 поставить, чтобы экономить электричество. Если стало очень жарко, то можно оставить функционировать только 1 тен. 

Вход у Котла для отопления электрический  справа, выход сверху, резьба наружная 1 1/4"" дюйма. Всё это дополняется термостатом, который вы можете установить на определённую температуру от 30°С до 90°С. При помощи него тэны будут выключаться при заданной температуре. С одной стороны, данный механизм помогает лучше контролировать температуру в доме, а с другой он помогает предотвратить перегрев отопительной жидкости. Это не означает, что вы можете не использовать группу безопасности, а лишь то, что система будет более безопасной и сбалансированной. 
","[Document(page_content='Электрокотёл Ресурс ЭВПМ 9 кВт на 380В и 220В  предназначен для отопления помещений площадью до 90 кв.м.'), Document(page_content='Он может использоваться как в закрытых, так и в открытых системах отопления при давлении до 0.25 МПа.'), Document(page_content='Электрокотёл 9кВт оснащён встроенным пультом управления с регулятором температуры и выключателями мощности, которые позволяют регулировать температуру теплоносителя в диапазоне от 35 до 85 градусов.'), Document(page_content='Максимальное давление воды в системе отопления - 2.5 бар.'), Document(page_content='Электрокотёл для отопления имеет три ступени мощности (3, 6 и 9 кВт), что позволяет точно настроить его под ваши потребности.'), Document(page_content='Материал первичного теплообменника - сталь, что обеспечивает надёжность и долговечность прибора.'), Document(page_content='Электрический котёл для отопления Ресурс ЭВПМ 9кВт для частного дома площадью порядка 90м².'), Document(page_content='Имеет 3 тэна по 3 кВт.'), Document(page_content='Работает на 380В и 220В.'), Document(page_content='Для работы на 220В надо сделать перемычку между С,В и А от корчиневого провода.'), Document(page_content='Резьба котла отопления 1 1/4"" дюйма.'), Document(page_content='Электрический котёл ""Ресурс ЭВПМ 9 кВт"" - это хороший вариант для отапливания вашего загородного дома, где нет газа.'), Document(page_content='В своей основе электрический котел отопления ресурс 9 кВт имеет три тена, которые работают от электросети.'), Document(page_content='Включать сами тэны можно порознь - сразу 2, 3 или 1 в зависимости от ситуации.'), Document(page_content='Если холодно ставите на 3, стало теплее - можно и на 2 поставить, чтобы экономить электричество.'), Document(page_content='Если стало очень жарко, то можно оставить функционировать только 1 тен.'), Document(page_content='Вход у Котла для отопления электрический  справа, выход сверху, резьба наружная 1 1/4"" дюйма.'), Document(page_content='Всё это дополняется термостатом, который вы можете установить на определённую температуру от 30°С до 90°С.'), Document(page_content='При помощи него тэны будут выключаться при заданной температуре.'), Document(page_content='С одной стороны, данный механизм помогает лучше контролировать температуру в доме, а с другой он помогает предотвратить перегрев отопительной жидкости.'), Document(page_content='Это не означает, что вы можете не использовать группу безопасности, а лишь то, что система будет более безопасной и сбалансированной.')]",Электрический котёл для отопления Ресурс ЭВПМ 9кВт для частного дома площадью порядка 90м².,,,,,,,,,
"Электрокотёл 6 кВт ""Ресурс ЭВПМ"" для отопления",5692,6904,"Электрокотёл Ресурс ЭВПМ 6 кВт на 220В и 380В предназначен для отопления помещений площадью до 60 кв.м. Он может использоваться как в закрытых, так и в открытых системах отопления при давлении до 0.25 МПа. Электрокотёл 6кВт оснащён встроенным пультом управления с регулятором температуры и выключателями мощности, которые позволяют регулировать температуру теплоносителя в диапазоне от 35 до 85 градусов. Максимальное давление воды в системе отопления - 2.5 бар. Электрокотёл для отопления имеет три ступени мощности (2, 4 и 6 кВт), что позволяет точно настроить его под ваши потребности. Материал первичного теплообменника - сталь, что обеспечивает надёжность и долговечность прибора. 



Электрический котёл для отопления Ресурс ЭВПМ 6кВт для частного дома площадью порядка 60м². Имеет 3 тэна по 2 кВт. Работает на 220В и 380В. Для работы на 220В надо сделать перемычку между С,В и А от корчиневого провода. Электрический котёл ""Ресурс ЭВПМ 6 кВт"" - это хороший вариант для отапливания вашего загородного дома, где нет газа. 

В своей основе электрический котел отопления ресурс 6кВт имеет три тена, которые работают от электросети. Включать сами тэны можно порознь - сразу 2, 3 или 1 в зависимости от ситуации. Если холодно ставите на 3, стало теплее - можно и на 2 поставить, чтобы экономить электричество. Если стало очень жарко, то можно оставить функционировать только 1 тен.

 Вход у Котла для отопления электрический  справа, выход сверху, резьба наружная 1"" дюйм. Всё это дополняется термостатом, который вы можете установить на определённую температуру от 30°С до 90°С. При помощи него тэны будут выключаться при заданной температуре. С одной стороны, данный механизм помогает лучше контролировать температуру в доме, а с другой он помогает предотвратить перегрев отопительной жидкости. Это не означает, что вы можете не использовать группу безопасности, а лишь то, что система будет более безопасной и сбалансированной. 
","[Document(page_content='Электрокотёл Ресурс ЭВПМ 6 кВт на 220В и 380В предназначен для отопления помещений площадью до 60 кв.м.'), Document(page_content='Он может использоваться как в закрытых, так и в открытых системах отопления при давлении до 0.25 МПа.'), Document(page_content='Электрокотёл 6кВт оснащён встроенным пультом управления с регулятором температуры и выключателями мощности, которые позволяют регулировать температуру теплоносителя в диапазоне от 35 до 85 градусов.'), Document(page_content='Максимальное давление воды в системе отопления - 2.5 бар.'), Document(page_content='Электрокотёл для отопления имеет три ступени мощности (2, 4 и 6 кВт), что позволяет точно настроить его под ваши потребности.'), Document(page_content='Материал первичного теплообменника - сталь, что обеспечивает надёжность и долговечность прибора.'), Document(page_content='Электрический котёл для отопления Ресурс ЭВПМ 6кВт для частного дома площадью порядка 60м².'), Document(page_content='Имеет 3 тэна по 2 кВт.'), Document(page_content='Работает на 220В и 380В.'), Document(page_content='Для работы на 220В надо сделать перемычку между С,В и А от корчиневого провода.'), Document(page_content='Электрический котёл ""Ресурс ЭВПМ 6 кВт"" - это хороший вариант для отапливания вашего загородного дома, где нет газа.'), Document(page_content='В своей основе электрический котел отопления ресурс 6кВт имеет три тена, которые работают от электросети.'), Document(page_content='Включать сами тэны можно порознь - сразу 2, 3 или 1 в зависимости от ситуации.'), Document(page_content='Если холодно ставите на 3, стало теплее - можно и на 2 поставить, чтобы экономить электричество.'), Document(page_content='Если стало очень жарко, то можно оставить функционировать только 1 тен.'), Document(page_content='Вход у Котла для отопления электрический  справа, выход сверху, резьба наружная 1"" дюйм.'), Document(page_content='Всё это дополняется термостатом, который вы можете установить на определённую температуру от 30°С до 90°С.'), Document(page_content='При помощи него тэны будут выключаться при заданной температуре.'), Document(page_content='С одной стороны, данный механизм помогает лучше контролировать температуру в доме, а с другой он помогает предотвратить перегрев отопительной жидкости.'), Document(page_content='Это не означает, что вы можете не использовать группу безопасности, а лишь то, что система будет более безопасной и сбалансированной.')]",Электрический котёл для отопления Ресурс ЭВПМ 6кВт для частного дома площадью порядка 60м².,,,,,,Электрокотёл Ресурс ЭВПМ 6 кВт на 220В и 380В предназначен для отопления помещений площадью до 60 кв.м.,,,
"Котел газовый настенный World Alpha-24 23,3 кВт",42743,50287,"Газовый котёл KITURAMI World Alpha 24 - двухконтурная модель обеспечит теплом и горячим водоснабжением жилое и нежилое помещение. Основной теплообменник из нержавеющей стали обеспечивает защиту от конденсата и долговечную работу. Блок управления, оснащенный системой выявления утечки газа, автоматически прекращает работу котла. Это позволяет предотвратить аварийную ситуацию. В случае неисправности работы котла мигает контрольная лампочка, и на дисплее комнатного пульта управления отображается код ошибки. Это позволяет легко установить причину нештатной ситуации.","[Document(page_content='Газовый котёл KITURAMI World Alpha 24 - двухконтурная модель обеспечит теплом и горячим водоснабжением жилое и нежилое помещение.'), Document(page_content='Основной теплообменник из нержавеющей стали обеспечивает защиту от конденсата и долговечную работу.'), Document(page_content='Блок управления, оснащенный системой выявления утечки газа, автоматически прекращает работу котла.'), Document(page_content='Это позволяет предотвратить аварийную ситуацию.'), Document(page_content='В случае неисправности работы котла мигает контрольная лампочка, и на дисплее комнатного пульта управления отображается код ошибки.'), Document(page_content='Это позволяет легко установить причину нештатной ситуации.')]",Газовый котёл KITURAMI World Alpha 24 - двухконтурная модель обеспечит теплом и горячим водоснабжением жилое и нежилое помещение.,,,,,,,,,
Электрокотёл 9 кВт ЭВПМ для отопления,6774,9603,"Электрокотёл  ЭВПМ 9 кВт на 380В и 220В предназначен для отопления помещений площадью до 90 кв.м. Он может использоваться как в закрытых, так и в открытых системах отопления при давлении до 0.25 МПа. Котёл 9кВт оснащён встроенным пультом управления с регулятором температуры и выключателями мощности, которые позволяют регулировать температуру теплоносителя в диапазоне от 35 до 85 градусов. Максимальное давление воды в системе отопления - 2.5 бар. Котёл для отопления имеет три ступени мощности (3, 6 и 9 кВт), что позволяет точно настроить его под ваши потребности. Материал первичного теплообменника - сталь, что обеспечивает надёжность и долговечность прибора. Котёл для отопления ЭВПМ 9кВт для частного дома площадью порядка 90м². Имеет 3 тэна по 3 кВт. Работает на 380В и 220В. Для работы на 220В надо сделать перемычку между С,В и А от корчиневого провода.  Электрический котёл ""ЭВПМ 9 кВт"" - это хороший вариант для отапливания вашего загородного дома, где нет газа. В своей основе электрический котел отопления 9 кВт имеет три тена, которые работают от электросети. Включать сами тэны можно порознь - сразу 2, 3 или 1 в зависимости от ситуации. Если холодно ставите на 3, стало теплее - можно и на 2 поставить, чтобы экономить электричество. Если стало очень жарко, то можно оставить функционировать только 1 тен. Вход у Котла для отопления электрический справа, выход сверху, резьба наружная 1 1/4"" дюйма. Гарантия - 1 год.","[Document(page_content='Электрокотёл  ЭВПМ 9 кВт на 380В и 220В предназначен для отопления помещений площадью до 90 кв.м.'), Document(page_content='Он может использоваться как в закрытых, так и в открытых системах отопления при давлении до 0.25 МПа.'), Document(page_content='Котёл 9кВт оснащён встроенным пультом управления с регулятором температуры и выключателями мощности, которые позволяют регулировать температуру теплоносителя в диапазоне от 35 до 85 градусов.'), Document(page_content='Максимальное давление воды в системе отопления - 2.5 бар.'), Document(page_content='Котёл для отопления имеет три ступени мощности (3, 6 и 9 кВт), что позволяет точно настроить его под ваши потребности.'), Document(page_content='Материал первичного теплообменника - сталь, что обеспечивает надёжность и долговечность прибора.'), Document(page_content='Котёл для отопления ЭВПМ 9кВт для частного дома площадью порядка 90м².'), Document(page_content='Имеет 3 тэна по 3 кВт.'), Document(page_content='Работает на 380В и 220В.'), Document(page_content='Для работы на 220В надо сделать перемычку между С,В и А от корчиневого провода.'), Document(page_content='Электрический котёл ""ЭВПМ 9 кВт"" - это хороший вариант для отапливания вашего загородного дома, где нет газа.'), Document(page_content='В своей основе электрический котел отопления 9 кВт имеет три тена, которые работают от электросети.'), Document(page_content='Включать сами тэны можно порознь - сразу 2, 3 или 1 в зависимости от ситуации.'), Document(page_content='Если холодно ставите на 3, стало теплее - можно и на 2 поставить, чтобы экономить электричество.'), Document(page_content='Если стало очень жарко, то можно оставить функционировать только 1 тен.'), Document(page_content='Вход у Котла для отопления электрический справа, выход сверху, резьба наружная 1 1/4"" дюйма.'), Document(page_content='Гарантия - 1 год.')]","Котёл для отопления имеет три ступени мощности (3, 6 и 9 кВт), что позволяет точно настроить его под ваши потребности.",,,,,,,Гарантия - 1 год.,,
Электрокотел ЭВПМ (ЭВП) 6 кВт 220В с нержавеющим ТЭНом,7501,11314,"Котел ЭВПМ 6 кВт 220 В. 
Электрокотел серии ЭВПМ применяются для водяного отопления жилых и производственных помещений, имеющих открытую и закрытую отопительную систему, работающую при давление не более 0,25 МПа (25 м. водяного столба), при напряжении однофазной сети 220В. 
Имеет монтажный отсек (лючок) - для простоты и удобства установки. 
Котел электрический для отопления идеален как основной источник отопления, так и для резервного/дополнительного. Подходит для дачи, бассейна, системы теплый пол. 
В котел вмонтирован терморегулятор, это позволяет поддерживать необходимую вам температуру в системе отопления. 
Котел отопления имеет привлекательный дизайн, прочное полимерное покрытие.
Дополнительные преимущества: 
теплоизоляция колбы, качественные швы, сечение провода с запасом.
Котел для отопления дома электрический имеет сменный нагревательный элемент ТЭНБ(СЭВ) 6 кВт  собственного производства из нержавеющей стали (устойчивы к кислотным средам - таким как специальные незамерзающие жидкости для систем отопления - на основе этиленгликоля и пропиленгликоля), что делает их ремонтопригодными.  Это позволяет сэкономить деньги в случае выхода котла из строя. Имеет болт заземления. 
Для экономии электроэнергии присутствует ступенчатая регулировка мощности - 2кВт + 2кВт + 2кВт для котла, включается/отключается модульными автоматами. 
Рассчитан на отопление помещения площадью до 65 кв. метров.

Электрические котлы соответствуют всем установленным нормативам РФ .

•   Регулировка температуры теплоносителя от 30 до 85°С, автоматическое поддержание температуры на заданном значении с точностью 0,8°С.
•  Возможность использования в качестве теплоносителя, как воду, водопроводная ГОСТ 2874 , так и незамерзающие жидкости Антифриз (тосол) для систем отопления. 
•  Электрический котел предусмотрена возможность запуска  при отрицательных температурах – с незамерзающей  жидкостью в системе.

Выводы верх и право (самое ходовое исполнение).

Диаметр трубы вход/выход в электрокотле - 25 мм.(1 дюйм)

Предоставляем гарантию на котлы - 1 год.
","[Document(page_content='Котел ЭВПМ 6 кВт 220 В. \nЭлектрокотел серии ЭВПМ применяются для водяного отопления жилых и производственных помещений, имеющих открытую и закрытую отопительную систему, работающую при давление не более 0,25 МПа (25 м. водяного столба), при напряжении однофазной сети 220В.'), Document(page_content='Имеет монтажный отсек (лючок) - для простоты и удобства установки.'), Document(page_content='Котел электрический для отопления идеален как основной источник отопления, так и для резервного/дополнительного.'), Document(page_content='Подходит для дачи, бассейна, системы теплый пол.'), Document(page_content='В котел вмонтирован терморегулятор, это позволяет поддерживать необходимую вам температуру в системе отопления.'), Document(page_content='Котел отопления имеет привлекательный дизайн, прочное полимерное покрытие.'), Document(page_content='Дополнительные преимущества: \nтеплоизоляция колбы, качественные швы, сечение провода с запасом.'), Document(page_content='Котел для отопления дома электрический имеет сменный нагревательный элемент ТЭНБ(СЭВ) 6 кВт  собственного производства из нержавеющей стали (устойчивы к кислотным средам - таким как специальные незамерзающие жидкости для систем отопления - на основе этиленгликоля и пропиленгликоля), что делает их ремонтопригодными.'), Document(page_content='Это позволяет сэкономить деньги в случае выхода котла из строя.'), Document(page_content='Имеет болт заземления.'), Document(page_content='Для экономии электроэнергии присутствует ступенчатая регулировка мощности - 2кВт + 2кВт + 2кВт для котла, включается/отключается модульными автоматами.'), Document(page_content='Рассчитан на отопление помещения площадью до 65 кв.'), Document(page_content='метров.'), Document(page_content='Электрические котлы соответствуют всем установленным нормативам РФ .'), Document(page_content='•   Регулировка температуры теплоносителя от 30 до 85°С, автоматическое поддержание температуры на заданном значении с точностью 0,8°С.'), Document(page_content='•  Возможность использования в качестве теплоносителя, как воду, водопроводная ГОСТ 2874 , так и незамерзающие жидкости Антифриз (тосол) для систем отопления.'), Document(page_content='•  Электрический котел предусмотрена возможность запуска  при отрицательных температурах – с незамерзающей  жидкостью в системе.'), Document(page_content='Выводы верх и право (самое ходовое исполнение).'), Document(page_content='Диаметр трубы вход/выход в электрокотле - 25 мм.'), Document(page_content='(1 дюйм)\n\nПредоставляем гарантию на котлы - 1 год.')]","Котел для отопления дома электрический имеет сменный нагревательный элемент ТЭНБ(СЭВ) 6 кВт  собственного производства из нержавеющей стали (устойчивы к кислотным средам - таким как специальные незамерзающие жидкости для систем отопления - на основе этиленгликоля и пропиленгликоля), что делает их ремонтопригодными.",,Рассчитан на отопление помещения площадью до 65 кв.,,,,,,,
Электрокотел Ресурс ЭВПМ-12кВт УХЛ 4 (380 В),6978,12631,"Электрокотел для водяного отопления зданий и помещений площадью до 130 кв.м. Подходит для открытых и закрытых отопительных систем, работающих при давлении не более 0,25 МПа (2,5 Атм.) и напряжении трехфазной сети 380 В. Может использоваться автономно или совместно с котлами на твердом топливе. Мощность ТЭНБ (4, 8, 12 кВт) и температура воды (30-90 °C) регулируются. Стальной корпус, порошковая окраска, диаметр резьбы патрубков 1.1/4 дюйма (32 мм). Предусмотрен кронштейн для крепления на стену, вес котла 10 кг. Срок службы 7 лет.","[Document(page_content='Электрокотел для водяного отопления зданий и помещений площадью до 130 кв.м.'), Document(page_content='Подходит для открытых и закрытых отопительных систем, работающих при давлении не более 0,25 МПа (2,5 Атм.)'), Document(page_content='и напряжении трехфазной сети 380 В. Может использоваться автономно или совместно с котлами на твердом топливе.'), Document(page_content='Мощность ТЭНБ (4, 8, 12 кВт) и температура воды (30-90 °C) регулируются.'), Document(page_content='Стальной корпус, порошковая окраска, диаметр резьбы патрубков 1.1/4 дюйма (32 мм).'), Document(page_content='Предусмотрен кронштейн для крепления на стену, вес котла 10 кг.'), Document(page_content='Срок службы 7 лет.')]","Подходит для открытых и закрытых отопительных систем, работающих при давлении не более 0,25 МПа (2,5 Атм.)",,,,,,,,,
"ЭВП 7.5 ЭУ (7.5 кВт, эл. упр.)",13555,15948,Котел отопления с интеллектуальной системой распределения мощности. В автоматическом режиме обеспечивает поддержание заданной температуры теплоносителя за счет регулировки мощности. Электронный блок управления с автоматическим определением необходимой мощности и интеллектуальным распределением фазной нагрузки.,"[Document(page_content='Котел отопления с интеллектуальной системой распределения мощности.'), Document(page_content='В автоматическом режиме обеспечивает поддержание заданной температуры теплоносителя за счет регулировки мощности.'), Document(page_content='Электронный блок управления с автоматическим определением необходимой мощности и интеллектуальным распределением фазной нагрузки.')]",Котел отопления с интеллектуальной системой распределения мощности.,,,,,,,,,
"Электрический котел ZOTA Econom 9, ZE 346842 0009",15462,21152,Электрические котлы серии ZOTA Econom (Зота Эконом)  предназначены для автономного теплоснабжения жилых и производственных помещений и могут быть использованы в системах с естественной (ZOTA Econom 3-15) и насосной циркуляцией. Во все котлы установлены нагревательные элементы (блок-ТЭНы) различной мощности специальной конструкции из нержавеющей трубки.,"[Document(page_content='Электрические котлы серии ZOTA Econom (Зота Эконом)  предназначены для автономного теплоснабжения жилых и производственных помещений и могут быть использованы в системах с естественной (ZOTA Econom 3-15) и насосной циркуляцией.'), Document(page_content='Во все котлы установлены нагревательные элементы (блок-ТЭНы) различной мощности специальной конструкции из нержавеющей трубки.')]",Во все котлы установлены нагревательные элементы (блок-ТЭНы) различной мощности специальной конструкции из нержавеющей трубки.,,,,,,,,,
Электрический настенный котел с Wi-Fi,42499,49999,"Электрический котел отопления с 4 режимами мощности от 5 до 12 кВт, алюминиево-магниевым теплообменником, встроенным расширительным баком и технологией Wi-Fi Motion - управление на расстоянии. Thermex Grizzly способен обогревать до 120 м2.Современный электрический котел Thermex Grizzly - удобное, универсальное и функциональное решение для создания независимой системы отопления в доме. Благодаря новому теплообменнику, встроенному расширительному баку, многоуровневой системе безопасности и нескольким вариантам мощности Grizzly отлично подходит для решения любых вопросов отопления.Преимущества Thermex Grizzly:4 модели в одном котле. Мощность Grizzly ограничивается в процессе установки, так что один котел заменяет 4 устройства. Для регулировки мощности нужно установить переключатель мощности на электронной плате котла в определенное положение, выбрав 5, 8, 10 или 12 кВт.Высокоэффективный теплообменник. Теплообменник Grizzly изготовлен по новой технологии литья из алюминиево-магниевого сплава для разделения воды и нагревательного элемента, так что такой теплообменник защищен от накипи на нагревательном элементе. При этом алюминиево-магниевый теплообменник имеет высокую эффективность, скорость нагрева и надежность. Качество теплообменника подтверждает длительная гарантия - 4 года.Технология Wi-Fi Motion. Позволяет постоянно отслеживать работу котла в приложении Thermex Home на личном планшете или смартфоне, включать, отключать и настраивать работу. Также в приложении можно создавать алгоритмы работы по времени и дню недели, а также программировать работу котла в зависимости от внешних условий, например, погоды за окном.Электронное управление. На фронтальной панели расположена панель управления с дисплеем, на котором отображается температура нагрева, можно настроить температуру теплоносителя или выбрать один из трех режимов работы - Turbo, Comfort или Eco.Многоуровневая система безопасности. В Grizzly предусмотрена защита от замерзания, а также - полноценная система самодиагностики, которая постоянно отслеживает работу котла и информирует в случае сбоя.Функциональность. В Grizzly уже предусмотрен встроенный насос и расширительный бак объемом 6 литров, максимальная площадь обогрева электрического котла - 120 м2.","[Document(page_content='Электрический котел отопления с 4 режимами мощности от 5 до 12 кВт, алюминиево-магниевым теплообменником, встроенным расширительным баком и технологией Wi-Fi Motion - управление на расстоянии.'), Document(page_content='Thermex Grizzly способен обогревать до 120 м2.Современный электрический котел Thermex Grizzly - удобное, универсальное и функциональное решение для создания независимой системы отопления в доме.'), Document(page_content='Благодаря новому теплообменнику, встроенному расширительному баку, многоуровневой системе безопасности и нескольким вариантам мощности Grizzly отлично подходит для решения любых вопросов отопления.Преимущества Thermex Grizzly:4 модели в одном котле.'), Document(page_content='Мощность Grizzly ограничивается в процессе установки, так что один котел заменяет 4 устройства.'), Document(page_content='Для регулировки мощности нужно установить переключатель мощности на электронной плате котла в определенное положение, выбрав 5, 8, 10 или 12 кВт.Высокоэффективный теплообменник.'), Document(page_content='Теплообменник Grizzly изготовлен по новой технологии литья из алюминиево-магниевого сплава для разделения воды и нагревательного элемента, так что такой теплообменник защищен от накипи на нагревательном элементе.'), Document(page_content='При этом алюминиево-магниевый теплообменник имеет высокую эффективность, скорость нагрева и надежность.'), Document(page_content='Качество теплообменника подтверждает длительная гарантия - 4 года.Технология Wi-Fi Motion.'), Document(page_content='Позволяет постоянно отслеживать работу котла в приложении Thermex Home на личном планшете или смартфоне, включать, отключать и настраивать работу.'), Document(page_content='Также в приложении можно создавать алгоритмы работы по времени и дню недели, а также программировать работу котла в зависимости от внешних условий, например, погоды за окном.Электронное управление.'), Document(page_content='На фронтальной панели расположена панель управления с дисплеем, на котором отображается температура нагрева, можно настроить температуру теплоносителя или выбрать один из трех режимов работы - Turbo, Comfort или Eco.Многоуровневая система безопасности.'), Document(page_content='В Grizzly предусмотрена защита от замерзания, а также - полноценная система самодиагностики, которая постоянно отслеживает работу котла и информирует в случае сбоя.Функциональность.'), Document(page_content='В Grizzly уже предусмотрен встроенный насос и расширительный бак объемом 6 литров, максимальная площадь обогрева электрического котла - 120 м2.')]","Электрический котел отопления с 4 режимами мощности от 5 до 12 кВт, алюминиево-магниевым теплообменником, встроенным расширительным баком и технологией Wi-Fi Motion - управление на расстоянии.",,,,,,"В Grizzly уже предусмотрен встроенный насос и расширительный бак объемом 6 литров, максимальная площадь обогрева электрического котла - 120 м2.",,,
