text_to_compare,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
КПД,КПД 90%.,КПД до 93%.,КПД: 93 %.,"КПД — 93%, отапливаемая площадь — 240 м².","КПД котла не менее 91,5%.","КПД котла не менее 91,5%.","КПД котла не менее 91,5%.",Высокий показатель КПД.,КПД не менее 90% Энергонезависимый.,"КПД котла достигает 90 % - это обусловлено увеличенной площадью теплообмена и использованием усовершенствованного турбулизатора, увеличивающего задержку выходящих газов.","КПД котла достигает 90 % - это обусловлено увеличенной площадью теплообмена и использованием усовершенствованного турбулизатора, увеличивающего задержку выходящих газов.","КПД котла достигает 90 % - это обусловлено увеличенной площадью теплообмена и использованием усовершенствованного турбулизатора, увеличивающего задержку выходящих газов.",Это надежное отопительное оборудование с потрясающим КПД.,"м, КПД котла 92%.",- Высокий реальный КПД.,"КПД котла составляет 93,1%, что является высоким показателем для газовых котлов.",Энергоэффективные с высоким КПД 99%.,Энергоэффективные с высоким КПД 99%.,"Модель отличается повышенной надежностью, высоким КПД и непревзойденным удобством эксплуатации.","Модель отличается повышенной надежностью, высоким КПД и непревзойденным удобством эксплуатации."
Гарантийный срок,Гарантийный талон.,Гарантийный талон.,Гарантийный талон.,Гарантийный талон.,Гарантийный талон.,Гарантийный талон.,Срок гарантии: 1 год.Продукция произведена и сертифицирована в России.,Срок гарантии: 1 год.Продукция произведена и сертифицирована в России.,гарантия 3 года.,гарантия 3 года.,гарантия 3 года.,"Мощность, кВт - 3; Гарантийный срок, мес.",Гарантийный талон 4.,Гарантийный талон 4.,Срок заводской гарантии теперь составляет рекордные 4 года!,"Гарантийный срок эксплуатации 12 месяцев.ЭВН-4,5 соответствует нормам ТУ.",(1 дюйм)Предоставляем гарантию на котлы - 1 год,(1 дюйм)Предоставляем гарантию на котлы - 1 год,(1 дюйм)Предоставляем гарантию на котлы - 1 год,Гарантия качества оборудования 2 года.
Количество контуров,одноконтур.,Число контуров : двухконтурныйМощность (кВт) : 24Диаметр коаксиального дымохода: 60/100 ммПодключение водопровода или бойлера: 1/2 дюймаПодключение отопления6 3/4 дюймаГабариты без упаковки: 725х400х340 ммТип: традиционныйТип монтажа: настенныйТемпература (гор.,Двухконтурный.,Обе они обладают одинаковыми показателями мощности и отличаются количеством контуров.,Линейка представлена моделями с двумя и одним контуром.,м:200;Подключение газопровода:1/2; отопительного контура:1 1/2;Количество контуров: один.,м.Количество контуровДвухконтурныйКамера сгоранияЗакрытаяКПД (%)91Тип установкиНастенныйt теплоносителя (макс.,м.Количество контуровДвухконтурныйКамера сгоранияЗакрытаяКПД (%)91Тип установкиНастенныйt теплоносителя (макс.,Они относятся к одноконтурному типу.,Они относятся к одноконтурному типу.,Они относятся к одноконтурному типу.,"температура в контуре ГВС, °C: 60Высота, мм: 725Ширина, мм: 400Глубина, мм: 337","Количество контуров - одноконтурный КПД - 99.5 % Тип крепления - настенный Встроенный циркуляционный насос, расширительный бак Подключение - однофазная/трёхфазная сеть в зависимости от мощности котла Комфорт: Экономичность, легкость монтажа, бесшумность работы, экологичность Безопасность: Предохранительный клапан, тепловой предохранитель, система защиты от замерзания, система защиты насоса от заклинивания- Электрокотел.",Широкий модельный ряд.,Компактные размеры.,метров.,метров.,метров.,"м.Кол-во контуров: одноконтурныйКамера сгорания: закрытаяМощность: 65 кВтУстановка: НастеннаяКонденсационный: ДаВид топлива: Природный газ, Сжиженный газСпособ установки: ВертикальноУправление: электронноеКПД %: 108Энергонезависимый: НетМатериал первичного теплообменника: нержавеющая стальВстроенный бойлер: НетВстроенный расширительный бак: НетВстроенный циркуляционный насос: НетРасход природного газа куб.",м.Кол-во контуров: одноконтурныйКамера сгорания: открытаяМощность: 12 кВтУстановка: НапольнаяКонденсационный: НетВид топлива: Природный газСтрана производителя: РоссияСтрана сборки: РоссияСпособ установки: ВертикальноУправление: механическоеКПД %: 90Энергонезависимый: ДаМатериал первичного теплообменника: стальВстроенный расширительный бак: НетВстроенный циркуляционный насос: НетРасход природного газа куб.
Вес,Вес,вес,Вес — 29 кг.,Вес: 29кг.,Товар весом более 25 кг.,Товар весом более 25 кг.,Товар весом более 25 кг.,Масса не более - 15 кг.,Масса не более - 15 кг.,"Габариты ГхШхВ - 168х328х395 мм Вес - 8,9 кг.","Мощность, кВт: 3 Напряжение, В: 220 Вес, кг: 8",Ширина 180 мм.,"Мощность, кВт: 15Напряжение, В: 380Вес, кг: 12",Масса не более 15 кг.Номинальное напряжение 380 В,Напряжение/частота: 230/50 В/Гц Габариты: 410х700х325 мм.,метров.,метров.,метров.,Высота 660 мм.,м/час.
Макс. тепловая мощность,"Тепловая Мощность Мин: 10 кВт; Тепловая Мощность Макс: 25.7 кВт; Расход Газа (метан) Макс: 2,72 м3/час; Электропитание: 1ф/220в; Размер упаковки Д х Ш х В (мм): 450х350х750; Вес нетто/брутто (кг): 30/33.",макс.,макс.,"тип отопительного котла: электрический, макс.","тип отопительного котла: электрический, макс.",Макс.,Макс.,"мощность, кВт: 5Макс.","тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.",Характеристики Макси-быт ЭВПМ-15общие характеристики*Тип отопительного котла электрическийЧисло контуров одноконтурныйМаксимальная мощность обогрева 15 кВтОтапливаемая площадь 150 кв.,"Характеристики:Тепловая мощность, кВт: 9,2/20,0КПД Pmax (80–60°С),%: 92,8КПД при Р = 30% Рma,%: 91,1Полезная мощность отопления, кВт: 8,3/18,0Рабочее давление воды в системе отопления, бар: 0,8/3Объем воды в контуре отопления котла, л: 1,0Объём расширительного бака котла, л: 6Давление воздуха в расширительном баке котла, бар: 1,0Диапазон регулировки температуры отопления, °С: 30-80Макс.","Имеет максимальную мощность 28 кВт, предназначен для отопления и ГВС зданий до 280 м2.",полезная мощность-2.00 кВтМакс.
Тип отопительного котла,тип отопительного котла: электрический,тип отопительного котла: электрический,тип отопительного котла: электрический,"тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.","тип отопительного котла: газовый, макс.",ТИП отопительного котла - газовыйчисло контуров - одноконтурныймаксимальная мощность обогрева - 10 КВТотапливаемая площадь - 90 КВ.,"тип отопительного котла: электрический, макс.","тип отопительного котла: электрический, макс.","Напольные газовые котлы для отопления дома КОВ-16СТ1пc ""сигнал"" относятся к типу энергонезависимых устройств, оборудованных встроенной атмосферной горелкой, благодаря чему существенно повышается надёжность котла и его экономичность.",Технические характеристики: Тип отопительного котла - электрический ТЭНовый котел Мощность - от 6 до 28 кВт.,Теплообменник котлов представляет собой жаротрубную конструкцию с винтовыми турбулизаторам.,Тип: газовый двухконтурный; Тип теплообменника: раздельный; Потребляемая эл.,"Компания предлагает экономичные, практичные традиционные и конденсационные котлы для мгновенного удовлетворения потребностей в горячей воде и отоплении двух типов – настенные и напольные.","В котле предусмотрена возможность установки нагревательного элемента (блока ТЭН) и газогорелочного устройства для перевода котла на газ.Мощность данного отопительного котла 20 кВт, отапливаемая площадь до 200 м2, диаметр дымохода 150 мм."
Топливо,Тип топлива: природный/сжиженный газ.,Котлы работают на твердом топливе.,Котлы работают на твердом топливе.,Котлы работают на твердом топливе.,Котлы работают на твердом топливе: дровах и топливных брикетах.,"Так, выделяют котлы на жидком (бензин, солярка) или твердом (уголь, дрова) топливе, газовые и электрические агрегаты.",Горение топлива происходит в топке внутри корпуса.,"Топливная линия герметично монтируется и не имеет открытых емкостей или бачков, поэтому отсутствуют запахи и испарения масла.",Защита от перегрева топлива.,Газовая система.,Автоматическая подкачка необходимого количества топлива.,Подходят для работы на газообразном и жидком топливе.,Подходят для работы на газообразном и жидком топливе.,Теплоноситель - вода / гликоли.,"м. В базовой конфигурации работает на твердом топливе (уголь, дрова, торфяные брикеты), в дополнительной - на электричестве.",Вместительный ящик зольника котла «Куппер практик 8» позволяет использовать топливо с большой зольностью.,"Работает на твердом топливе, угле и дровах.","Котлы работают на твердом топливе, угле и дровах.",Модель 40K Топливо Природный газ/Сжиженный газ КПД % 91.5 Тепловая мощностьОВкВт 14.0-40.0 ГВС 40.0 Отапливаемая площадьm2 до 400 Расход газа(мин./макс.,Модель 40K Топливо Природный газ/Сжиженный газ КПД % 91.5 Тепловая мощностьОВкВт 14.0-40.0 ГВС 40.0 Отапливаемая площадьm2 до 400 Расход газа(мин./макс.
Размещение,помещ.,помещ.,помещ.,помещ.,помещ.,Удобство монтажа и сервисного обслуживания,помещений площадью до 45 м2.,помещений площадью до 45 м2.,Не требует специальных навыков для обслуживанияНе нуждается в специальном помещении для установки.,"Техническая оснащенность, современные конструкция и дизайн, удобство эксплуатации делает возможным их применение на объектах разного типа: в квартирах, загородных домах, коттеджах и различных нежилых помещениях.","Техническая оснащенность, современные конструкция и дизайн, удобство эксплуатации делает возможным их применение на объектах разного типа: в квартирах, загородных домах, коттеджах и различных нежилых помещениях.","Техническая оснащенность, современные конструкция и дизайн, удобство эксплуатации делает возможным их применение на объектах разного типа: в квартирах, загородных домах, коттеджах и различных нежилых помещениях.",Не нуждается в специальном помещении для установки.,помещений площадью до 90 м2.,"м: домов, коттеджей, подсобных и хозяйственных помещений.",помещений площадью до 180 м2.,обслуживания.,обслуживания.,Данная однофазная модификация способна обеспечить комфортную температуру помещениям площадью до 30 квадратных метров.,Компактные размеры и небольшой вес позволяют разместить его практически в любом месте вашего дома.
Управление,Управление - кнопочное.,Управление - кнопочное.,Погодозависимое управление.,Управление с пульта.,Интуитивно понятное управление.,Интуитивно понятное управление.,Управление одним термостатом (доп.,"Управление – , гарантирует простое изменение параметров работы прибора.","Управление котлом электронное, при помощи ЖК-дисплея на фронтальной панели.",Все управление происходит с панели на котле.,Пульт управления-термостат.,Сенсорная панель управления.,Простое и понятное управление позволяет легко настроить необходимые параметры для пользователя.,"Управление температурой и остальными параметрами происходит на электронной панели с помощью обновленной системой управления, что обеспечивает эффективное исполнение поставленных задач.",Панель управления с ЖК-дисплеем и кнопками.,обслуживания.,обслуживания.,Возможность подключения пульта управления (опция),Возможность подключения пульта управления (опция),Возможность подключения пульта управления (опция)
Отапливаемая площадь,Отапливаемая площадь: 180 м².,"Отапливаемая площадь, 120 м2 (при высоте 2,7 м).",Площадь отапливаемых помещений - 90 м2.,Площадь отапливаемого помещения до 240 м2.,Площадь отапливаемого помещения до 240 м2.,Площадь отапливаемого помещения до 240 м2.,Площадь отапливаемых помещений может достигать 82 квадратных метров.,Площадь отапливаемого здания достигает 163 квадратных метров.,Площадь отапливаемого помещения от 53 до 140 м2.,S отапливаемых помещений при 25 C и высоте не более 3 м - до 90 кв.м.,S отапливаемых помещений при 25 C и высоте не более 3 м - до 90 кв.м.,Предназначен для отопления и горячего водоснабжения квартир и индивидуальных домов отапливаемой площадью от 100 до 350 м2.,"КПД — 93%, отапливаемая площадь — 240 м².","площадь отапливаемого помещения: 100 м2Цвет: Черный/СерыйДиаметр дымохода: 115 ммГабаритный размер: 670х450х655 ммСтрана: РоссияТопливо: Дрова, УгольВес: 90 кгДополнительные опции: Блок ТЭН (опция)Мощность: 10 кВт",Он имеет мощность 3 кВт и рассчитан на отапливаемую площадь до 30 квадратных метров.,Малогабаритный котел Теплодар куппер практик - 8 способен отапливать площадь до 80 кв.,Рассчитан на отопление помещения площадью 150 кв.,"Отапливаемая площадь, м2 : 290Материал теплообменника : СтальКамера сгорания : ОткрытаяНаличие ГВС : двухконтурныйДиаметр дымохода, мм : 134Энергозависимость : даСтрана производитель : РоссияРасход природного газа : 1,3 м³/часТип розжига : пьезорозжигРазмещение : напольныйТип отопительного котла : газовыйКатегория : Котёл отопительный",Площадь отапливаемого помещения до 240 м2.Выпускаются котлы ARDERIA серии «Е» на собственном производстве в России.,Площадь отапливаемого помещения до 240 м2.Выпускаются котлы ARDERIA серии «Е» на собственном производстве в России.
