text_to_compare,0,1,2,3
Тип отопительного котла,"('Тип отопительного котла', 0.0)","('Макс. тепловая мощность', 0.314)","('Топливо', 0.355)","('Отапливаемая площадь', 0.357)"
Количество контуров,"('Количество контуров', 0.0)","('Отапливаемая площадь', 0.409)","('Размещение', 0.423)","('Вес', 0.427)"
Гарантийный срок,"('Гарантийный срок', 0.0)","('Размещение', 0.364)","('КПД', 0.416)","('Отапливаемая площадь', 0.416)"
Тепловая мощность,"('Макс. тепловая мощность', 0.167)","('Топливо', 0.316)","('Тип отопительного котла', 0.318)","('Отапливаемая площадь', 0.332)"
Вес с упаковкой (кг),"('Вес', 0.224)","('Гарантийный срок', 0.409)","('Размещение', 0.411)","('КПД', 0.412)"
Вес без упаковки (кг),"('Вес', 0.249)","('Гарантийный срок', 0.422)","('Размещение', 0.432)","('Макс. тепловая мощность', 0.437)"
Потребляемая мощность,"('Макс. тепловая мощность', 0.257)","('Отапливаемая площадь', 0.339)","('КПД', 0.358)","('Тип отопительного котла', 0.362)"
Рекомендуемая площадь помещения (кв.м),"('Отапливаемая площадь', 0.285)","('Размещение', 0.307)","('КПД', 0.398)","('Макс. тепловая мощность', 0.398)"
Варианты установки,"('Размещение', 0.299)","('Тип отопительного котла', 0.345)","('Гарантийный срок', 0.364)","('Отапливаемая площадь', 0.382)"
Модель,"('Управление', 0.32)","('КПД', 0.336)","('Размещение', 0.34)","('Тип отопительного котла', 0.365)"
Страна производства,"('КПД', 0.341)","('Размещение', 0.343)","('Отапливаемая площадь', 0.366)","('Управление', 0.377)"
Ширина предмета,"('Вес', 0.343)","('Отапливаемая площадь', 0.37)","('Гарантийный срок', 0.382)","('Размещение', 0.388)"
Высота предмета,"('Вес', 0.345)","('Размещение', 0.357)","('Отапливаемая площадь', 0.366)","('КПД', 0.382)"
Ширина упаковки,"('Вес', 0.353)","('Отапливаемая площадь', 0.356)","('Гарантийный срок', 0.376)","('Размещение', 0.38)"
Длина упаковки,"('Вес', 0.357)","('Отапливаемая площадь', 0.367)","('Гарантийный срок', 0.376)","('Размещение', 0.396)"
Высота упаковки,"('Отапливаемая площадь', 0.358)","('Вес', 0.365)","('Размещение', 0.378)","('КПД', 0.404)"
Глубина предмета,"('Вес', 0.371)","('Отапливаемая площадь', 0.377)","('Макс. тепловая мощность', 0.398)","('Размещение', 0.4)"
